method,precision_at_k,recall_at_k,map_at_k,ndcg_at_k,k,n_users,fit_seconds,recommend_ms,coverage,diversity,novelty,popularity_bias,exposure_gini
item_knn,0.0015812599904210167,0.0018225740692680357,0.0016452234263316056,0.0027555524438474437,0.0,0.0,0.00041048537720950277,0.01047368427539223,0.002401064215385595,0.0014303198968664752,0.020945940253752782,0.0004404354928857955,0.0006741414151517824
als_mf,0.0018003726758116746,0.0019094633380184625,0.0009372543068226805,0.0020799626858211805,0.0,0.0,0.04437670458680718,0.006392687488107138,0.0012811831168568527,0.00154858460097873,0.0059816482209339985,0.0005030030656055065,0.00025124159424532236
user_knn,0.0013907189497424366,0.001454604980097291,0.0016777113334520953,0.002863324043423638,0.0,0.0,0.003896147219510752,0.012316845205846968,0.0005448780002030607,0.0007720624110319797,0.0034334863579160023,0.0004868242740145885,2.1310914983355424e-05
social,0.0013805527392398787,0.001706244597820114,0.0011689494836170209,0.00162155554376994,0.0,0.0,0.00032060978226385175,0.00597840371689784,0.0013161072352396075,0.0014547981843807919,0.015288782038023873,0.0004250822003334986,0.0005025033025043346
content_based,0.00137154414228453,0.0014670068133861838,0.000834790204641442,0.0019365014085188802,0.0,0.0,0.0010771731325508152,0.0253832355232658,0.0016946324316681608,0.0018594297719930944,0.05786146977810415,0.00014168451384051288,0.0004989176644157406
popularity_listeners,0.0023150405661018524,0.0023155254901236185,0.0017823588288915873,0.003194642472579795,0.0,0.0,0.0008349607319273169,0.004134953064208023,5.671506352087106e-05,0.007715195554638368,0.0075084273538960295,0.0009832817725028916,1.846661961233072e-06
popularity_plays,0.00256139096419473,0.0026992123028708537,0.0016284495605236038,0.002916785120317503,0.0,0.0,0.0012568638623048699,0.007848205557610354,4.745122655025377e-05,0.01788006211992162,0.01910995062685678,0.0019556589939775547,4.080392901183755e-06
popularity_damped,0.002024444247558889,0.002466515428871867,0.0020822138974470653,0.0036137711200496664,0.0,0.0,0.0005475328354258264,0.0028343375680202998,3.106411964071942e-05,0.007345308323912005,0.06669255905939855,0.004448760798111017,6.376417462097511e-06
