,precision_at_k,recall_at_k,map_at_k,ndcg_at_k,k,n_users,fit_seconds,recommend_ms,coverage,diversity,novelty
item_knn,0.1749469214437371,0.17745551511475116,0.1134547463516349,0.21736289682567825,10.0,1884.0,0.019597167149186134,0.23903316648127293,0.15556941923774956,0.6160756149523718,4.748707722380415
als_mf,0.13439490445859706,0.1374953661577851,0.06672291870274877,0.1501940884244375,10.0,1884.0,6.394693291978911,0.19469358261294994,0.1027676950998185,0.745107391103876,4.914510647678886
user_knn,0.12924628450106007,0.13286973848279432,0.0805484801699637,0.15975645821846154,10.0,1884.0,0.02616433403454721,0.2566150637025176,0.018035390199637024,0.6192975256631572,2.979659378509329
content_based,0.09936305732483953,0.10114203147642516,0.04978236989535133,0.11437767390655672,10.0,1884.0,0.04017233313061297,0.4810359544761384,0.14343239564428312,0.3381963011923631,6.568329597677401
popularity_listeners,0.06905520169851331,0.07031265797189312,0.03513334131718269,0.07977224205983367,10.0,1884.0,0.011913332855328918,0.1749483702383983,0.0015313067150635208,0.62714471383283,2.441960785814214
popularity_plays,0.06019108280254742,0.061450013480267913,0.026687996382794694,0.06529947138156264,10.0,1884.0,0.012499708216637373,0.17834479367902262,0.0013611615245009074,0.6759402033474647,2.6820821455236814
popularity_damped,0.043046709129511675,0.043708506049270374,0.01525215724411969,0.044093786824336276,10.0,1884.0,0.012701209168881178,0.17930401428335696,0.001191016333938294,0.7652082815070961,3.436606558039202
